issue_type,status,severity,scope,record_name,field,message,workbook_value,legacy_value,workbook_ref,legacy_ref
review_required,review_required,warning,parent_sheet,N16,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,35.34,null,N16!C29,
review_required,review_required,warning,parent_sheet,N16,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,95.0,null,N16!C30,
review_required,review_required,warning,parent_sheet,N16,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N16!C31,
review_required,review_required,warning,parent_sheet,N15,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,35.34,null,N15!C29,
review_required,review_required,warning,parent_sheet,N15,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,95.0,null,N15!C30,
review_required,review_required,warning,parent_sheet,N15,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N15!C31,
review_required,review_required,warning,parent_sheet,N14,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,35.34,null,N14!C29,
review_required,review_required,warning,parent_sheet,N14,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,95.0,null,N14!C30,
review_required,review_required,warning,parent_sheet,N14,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N14!C31,
review_required,review_required,warning,parent_sheet,N14,porosity,Highlighted workbook value was skipped and needs manual confirmation.,0.2743258177095831,null,N14!C35,
review_required,review_required,warning,parent_sheet,N13,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,11.57,null,N13!C29,
review_required,review_required,warning,parent_sheet,N13,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N13!C30,
review_required,review_required,warning,parent_sheet,N13,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,49.0,null,N13!C31,
review_required,review_required,warning,parent_sheet,N13,porosity,Highlighted workbook value was skipped and needs manual confirmation.,0.689550315050893,null,N13!C35,
review_required,review_required,warning,parent_sheet,N12,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,13.6,null,N12!C29,
review_required,review_required,warning,parent_sheet,N12,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N12!C30,
review_required,review_required,warning,parent_sheet,N12,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,49.0,null,N12!C31,
review_required,review_required,warning,parent_sheet,N11,disc_mass_mg,Highlighted workbook value was skipped and needs manual confirmation.,11.57,null,N11!C29,
review_required,review_required,warning,parent_sheet,N11,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,64.0,null,N11!C30,
review_required,review_required,warning,parent_sheet,N11,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,49.0,null,N11!C31,
review_required,review_required,warning,parent_sheet,N11,porosity,Highlighted workbook value was skipped and needs manual confirmation.,0.6907875185053809,null,N11!C35,
review_required,review_required,warning,parent_sheet,N4,electrode_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,165.0,null,N4!D24,
review_required,review_required,warning,parent_sheet,N4,pressed_thickness_um,Highlighted workbook value was skipped and needs manual confirmation.,50.0,null,N4!E24,
mismatch,missing_in_legacy,warning,parent_batch,N14,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!37,
mismatch,missing_in_legacy,warning,parent_batch,N13,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!33,
mismatch,legacy_only,warning,variant_batch,N12b,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:81
mismatch,missing_in_legacy,warning,variant_batch,N12E,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!35,
mismatch,missing_in_legacy,warning,variant_batch,N12F,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!36,
mismatch,missing_in_legacy,warning,parent_batch,N11,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!31,
mismatch,missing_in_legacy,warning,variant_batch,N10b,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Compiled!20,
mismatch,missing_in_legacy,warning,variant_batch,N10c,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Compiled!22,
mismatch,mismatch,warning,variant_batch,N10d,electrolyte,Workbook electrolyte does not match the existing database entry.,"""1M LiTFSI + 10% FEC""","""1M LiPF6 EC:EMC:DMC 1:1:1 + 2% LiDFOB""",Experimental Data!34,cell_experiments:75
mismatch,missing_in_legacy,warning,variant_batch,N10f,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Compiled!28,
mismatch,missing_in_legacy,warning,variant_batch,N10G,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!30,
mismatch,missing_in_legacy,warning,variant_batch,N10P,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!29,
mismatch,missing_in_legacy,warning,variant_batch,N10q,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Compiled!24,
mismatch,legacy_only,warning,variant_batch,N9 Remakes,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:83
mismatch,legacy_only,warning,variant_batch,N9w,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:86
mismatch,legacy_only,warning,variant_batch,N9x,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:85
mismatch,legacy_only,warning,variant_batch,N9y ,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:84
mismatch,missing_in_legacy,warning,parent_batch,N8,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!26,
mismatch,missing_in_legacy,warning,parent_batch,N7,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!20,
